description,class_id
Bank note acceptors for separating good bank notes from counterfeits,009
Fingerprint imagers,009
Laboratory swabs [laboratory instruments],009
Ear plugs for divers,009
DVD recorders,009
Notebook computer carrying cases,009
Ergometers not for medical purposes,009
"Scientific apparatus and instruments for measuring relative DNA, RNA and protein and parts and fittings therefor",009
"Scientific apparatus, namely, spectrophotometer for measuring relative DNA, RNA and protein",009
Night vision goggles,009
PC tablets,009
Personal security alarms,009
Flash card readers,009
Computer docking stations,009
Electronic agendas,009
Wrist rests for use with computers,009
Bullhorns,009
Guitar amplifiers,009
Disposable cameras,009
Cable jump leads,009
Carbon dioxide detectors,009
CD-ROM drives,009
Cordless telephones,009
Radio-frequency controlled locks,009
Blank integrated circuit cards [blank smart cards],009
Computer whiteboards,009
Microchips [computer hardware],009
Transponders,009
Electronic animal confinement systems,009
Power connectors,009
Power adapters,009
Distribution boxes for electrical power,009
"Measuring apparatus, namely, angle finders",009
Visual and audio recordings featuring {indicate subject matter},009
"Laboratory equipment, namely, microarrays",009
Solid state light based emissive imagers,009
Magnetic stud finders,009
High definition multimedia interface cables,009
Compact discs featuring music and spoken word in the form of poetry,009
Acoustic baffles sold as a component of loudspeakers,009
Wireless adapters for computers,009
Electronic stud finders,009
Multi-functional computer terminals with payment function,009
Wireless adapters used to link computers to a telecommunications network,009
"Protective body cooling gear, namely, {indicate specific type of active cooling device, e.g., active cooling vests, active cooling blankets, etc.} to prevent injury due to overheating",009
"Electronic automated beverage dispensing machines, not heated or cooled",009
"Bicycle accessories, namely, electronic sound making devices for use on bicycles that generate {indicate the specific type of sound, e.g., a motorcycle engine sound, etc.}",009
Cell phone cases,009
Divers masks,009
Holders for contact lenses,009
Battery performance monitors,009
"Eyewear, namely, sunglasses, eyeglasses and ophthalmic frames and cases therefor",009
Pre-recorded flash drives featuring {indicate subject matter},009
Battery monitors,009
Monitoring devices for monitoring battery performance characteristics,009
Inspection mirrors,009
GPS navigation device,009
Portable electronic devices for monitoring and analyzing ball movement in sports,009
Overlays specially adapted for touchscreen displays,009
"Ad server, namely, a computer server for storing advertisements and delivering advertisements to websites",009
USB computer access control key,009
Liquid crystal display (LCD) monitors,009
Personal headphones for sound transmitting apparatuses,009
Television monitors with television tuners,009
"Thin-film solar (TFS), vertical axis wind turbine (VAWT) and Hybrid TFS VAWT off-grid power and deep cycle battery storage systems composed of batteries, charge controllers and inverters with integrated LED bulbs and LED light fixtures",009
Carrying cases for mobile computers,009
Downloadable fact sheets in the field of {indicate subject matter or field},009
"Head-up displays for use in general aviation aircraft, namely, transparent electronic displays for providing aircraft crew members with navigational and operational information",009
Prerecorded video cassettes featuring music,009
